,species,nb_images
473,Nomada piccioliana,5
474,Nomada roberjeotiana,1
475,Nomada ruficornis,26
476,Nomada rufipes,21
477,Nomada sexfasciata,26
478,Nomada sheppardana,18
479,Nomada signata,15
480,Nomada stigma,4
481,Nomada succincta,74
482,Nomada zonata,31
483,Nomiapis,15
484,Nomiapis diversipes,16
485,Nomioides,4
486,Nomioides facilis,19
487,Nomioides minutissimus,5
488,Osmia,117
489,Osmia anceyi,6
490,Osmia andrenoides,32
491,Osmia argyropyga,3
492,Osmia aurulenta,129
493,Osmia bicolor,274
494,Osmia bicornis,2582
495,Osmia bidentata,1
496,Osmia brevicornis,16
497,Osmia caerulescens,141
498,Osmia cephalotes,13
499,Osmia cornuta,2209
500,Osmia dimidiata,13
501,Osmia ferruginea,2
502,Osmia gallarum,2
503,Osmia inermis,1
504,Osmia latreillei,36
505,Osmia latreillei iberoafricana,1
506,Osmia leaiana,41
507,Osmia mustelina,14
508,Osmia nasoproducta,1
509,Osmia niveata,18
510,Osmia rufohirta,26
511,Osmia scutellaris,5
512,Osmia signata,3
513,Osmia spinulosa,88
514,Osmia submicans,7
515,Osmia tricornis,29
516,Osmia versicolor,6
517,Osmia xanthomelana,1
518,Panurginus albopilosus,4
519,Panurgus,117
520,Panurgus banksianus,25
521,Panurgus calcaratus,59
522,Panurgus canescens,1
523,Panurgus corsicus,2
524,Panurgus dentipes,21
525,Pasites maculatus,25
526,Protosmia,1
527,Pseudoanthidium,42
528,Pseudoanthidium melanurum,6
529,Pseudoanthidium nanum,90
530,Pseudoanthidium reticulatum,5
531,Pseudoanthidium scapulare,8
532,Rhodanthidium,14
533,Rhodanthidium infuscatum,24
534,Rhodanthidium septemdentatum,211
535,Rhodanthidium siculum,12
536,Rhodanthidium sticticum,162
537,Rhophitoides canus,1
538,Rophites algirus,1
539,Rophites quinquespinosus,3
540,Seladonia,57
541,Seladonia kessleri,4
542,Seladonia seladonia,3
543,Seladonia subaurata,36
544,Seladonia subaurata corsa,1
545,Seladonia submediterranea,7
546,Seladonia tumulorum,20
547,Sphecodes,71
548,Sphecodes albilabris,436
549,Sphecodes ephippius,6
550,Sphecodes gibbus,7
551,Sphecodes monilicornis,12
552,Sphecodes niger,1
553,Sphecodes olivieri,9
554,Sphecodes pellucidus,3
555,Sphecodes puncticeps,6
556,Sphecodes ruficrus,4
557,Stelis,26
558,Stelis annulata,26
559,Stelis breviuscula,15
560,Stelis nasuta,7
561,Stelis ornatula,24
562,Stelis phaeoptera,1
563,Stelis punctulatissima,78
564,Stelis signata,53
565,Stelis simillima,5
566,Systropha curvicornis,17
567,Systropha planidens,4
568,Tetralonia malvae,68
569,Tetraloniella,33
570,Tetraloniella alticincta,20
571,Tetraloniella dentata,23
572,Tetraloniella fulvescens,2
573,Tetraloniella inulae,1
574,Tetraloniella nana,14
575,Tetraloniella salicariae,13
576,Tetraloniella strigata,12
577,Thyreus,33
578,Thyreus histrionicus,2
579,Thyreus orbatus,7
580,Thyreus ramosus,41
581,Trachusa,4
582,Trachusa byssina,79
583,Trachusa integra,38
584,Trachusa interrupta,60
585,Trachusa laeviventris,1
586,Triepeolus tristis,13
587,Vestitohalictus,2
588,Vestitohalictus pollinosus,19
589,Xylocopa,1477
590,Xylocopa cantabrita,76
591,Xylocopa iris,43
592,Xylocopa valga,217
593,Xylocopa violacea,4042
